,content,toxic,severe_toxic,obscene,threat,insult,identity_hate
2729,I fucking love those videos,1,0,1,0,0,0
2823,only bad matchup is dumb shit like yone and vlad,1,0,1,0,0,0
2907,may I ask why the fuck shen is a thing?,1,0,1,0,0,0
3029,"Obligatory ""fuck Udyr""",1,0,1,0,1,0
3063,who the fuck uses D for flashbanning whoever says me,1,0,1,0,0,0
3094,now that I think about it the fuck do u play?,1,0,1,0,0,0
3135,holy shit,1,0,0,0,0,0
3182,Broken as fuck,1,0,1,0,0,0
3377,what the hell do i do now,1,0,0,0,0,0
3398,HOLY SHIT WHAT THE HELL BCLURTOIEAUEOSTDPY,1,0,1,0,0,0
3412,> why the fuck i get the code of conduct shit every time i open league clientPromise you will be a good player?,1,0,1,0,0,0
3414,"If yes,that shit might be bugged anyway",1,0,1,0,0,0
3472,time to get some free shit,1,0,0,0,0,0
3592,heres how this shit works,1,0,0,0,0,0
3600,HOLY SHIT,1,0,0,0,0,0
3613,fucking 200 years,1,0,1,0,0,0
3642,why do i get these fucking monkeys ALWAYS IN PROMO,1,0,1,0,0,0
3673,I got a fucking ward,1,0,1,0,1,0
3703,HAHA OH SHIT,1,0,0,0,0,0
3763,u are so fucking pepega,1,0,1,0,1,0
3777,fuck u chris,1,0,1,0,0,0
3799,this fucking wukong is challenger no cap,1,0,1,0,0,0
3827,"FUCK IT, VLAD IT IS",1,0,1,0,1,0
3877,and tell you that kayle is ugly and stupid and is a loser,1,0,0,0,0,0
3912,gona suck when they nerf him to shit,1,0,1,0,1,0
3978,eat shit riot,1,0,0,0,0,0
4013,fuck,1,0,1,0,1,0
4077,Being memed for releasing an overpowered adc and being shit on by the whole community.Rito after a few months: “ I’ll fucking do it again.”,1,0,1,0,0,0
4087,then ezreal says shut the fuck up mutedthen they both die to the first gank of the game 10 seconds after it was warnedand then they say jungle diff,1,0,0,0,0,0
4135,Im not a fucking loser,1,0,1,0,1,0
4160,LIKE NANI THE FUCK,1,0,1,0,1,0
4173,Urf is fucking nuts,1,0,1,0,0,0
4217,teemo had no fucking chance,1,0,1,0,0,0
4248,shut up let me believe idiot,1,0,0,0,0,0
4258,Ugly as fuck man wtf.,1,0,1,0,0,0
4285,Fuck i dont have anything to flame u with on opgg,1,0,1,0,0,0
4418,and he seem to suck,1,0,1,0,0,0
4514,Holy fuck you actually did it you madman,1,0,1,0,0,0
4518,fuck this team,1,0,1,0,0,0
4520,fuck this mmr god why,1,0,1,0,1,0
4526,fucking hell ANTI PYKE TEAM,1,0,1,0,0,0
4536,Samira is sick as fuck omg,1,0,1,0,0,0
4595,>  aw fuck why in ranks This is why you ban Samira,1,0,1,0,0,0
4600,aw fuck why in ranks,1,0,1,0,0,0
4615,holy shit,1,0,0,0,0,0
4644,SKARNER IS SO FUN WHAT THE FUCK,1,0,1,0,0,0
4747,but fuck riven,1,0,1,0,1,0
4960,fuck man,1,0,1,0,1,0
4975,what the fuck,1,0,1,0,1,0
4991,shit,1,0,1,0,0,0
5112,they fucking with all of us,1,0,1,0,1,0
5168,>  psyops pyke is so fucking n ice,1,0,1,0,0,0
5293,also i don't watch those shit,1,0,0,0,0,0
5357,fuck control wards all my homies hate control wards,1,0,1,0,0,0
5414,like what the actual fuck is that,1,0,1,0,0,0
5415,What the fuck is that,1,0,1,0,1,0
5449,bruh what the fuck is this match making,1,0,1,0,0,0
5452,I fucking hate lux,1,0,0,0,0,0
5469,yes ionians are fun as fuck,1,0,1,0,0,0
5484,basically a huge fuck you to all assassins,1,0,1,0,0,0
5496,FUCKING WOWOW,1,0,1,0,1,0
5534,Your CS is shit.,1,0,1,0,0,0
5715,Teemo gets a fucking sniper,1,0,1,0,0,0
5801,today i learnt hecarim can fuck up a lane without even properly ganking,1,0,1,0,0,0
5985,i fucking hate heimerdinger with a passionthis is aram btw,1,0,0,0,0,0
6098,fast as fuck boii,1,0,1,0,0,0
6124,oh so jg duo means you roam and shit together?,1,0,0,0,0,0
6136,why the *fuck* do people in plat just s u c k,1,0,1,0,0,0
6157,get fucked rengar u little bitch,1,0,1,0,1,0
6175,nobody hit the fucking q,1,0,0,0,0,0
6184,what the fuck is this fucking match making,1,0,1,0,1,0
6199,where le fuck is psyops kayle,1,0,1,0,0,0
6208,The one fucking champ that shouldnt be fed and the damn moron of a fish feeds him,1,0,1,0,0,0
6211,that's old as fuck,1,0,1,0,1,0
6219,this fucking yi,1,0,1,0,1,0
6222,feed them and said what the fuck could i do,1,0,1,0,0,0
6305,fuck support yuumi,1,0,1,0,0,0
6360,this annoying little shit played yasuo jungle,1,0,0,0,0,0
6573,> who the FUCK plays asol i BAN aury sol,1,0,1,0,0,0
6614,yes fuck lux mains but watch this shit,1,0,1,0,1,0
6650,dont u dare put the yuumi passive in there fuck u,1,0,1,0,0,0
6686,what the fuck is that,1,0,1,0,1,0
6701,im fucking doing it,1,0,1,0,0,0
6705,I wanna cry when I get them on my team useless sack of shit but when. Other team has them they just disappear and reappearing while somehow doing more damage with a blow dart then a fucking rek si,1,0,0,0,0,0
6804,this shit is like adc graves,1,0,1,0,0,0
6831,THE FUCK IS THIS??,1,0,1,0,1,0
6879,Yeah with what? A short ass hop that gets you nearly nowhere? An ult that is SO fucking long,1,0,1,0,0,0
7117,fuck lillia,1,0,1,0,1,0
7133,And wtf are u a winrate friend? Who gives a fuck,1,0,1,0,0,0
7280,wow after many shit skins,1,0,1,0,0,0
7355,Omg I swear garena is blind as fuck,1,0,0,0,0,0
7481,what the hell??,1,0,0,0,0,0
7646,oh shit guys,1,0,1,0,0,0
7675,Fucking hell,1,0,1,0,1,0
7708,What the fuck,1,0,1,0,1,0
7796,wether you want to chance the akali being shit or not is something else.,1,0,0,0,0,0
7825,like i legit CC the fuck out of the lucian and they still can;t kill,1,0,0,0,0,0
7858,oh shit,1,0,1,0,0,0
7875,who shit on us,1,0,1,0,0,0
7932,absolute fucking bullshit,1,0,1,0,0,0
7953,He just fucking runs,1,0,1,0,0,0
8002,"my team flamed me THE WHOLE EARLYGAMEi'm talking all 4 of them, they were 2 duos and they would just not shut the fuck upthey just kept calling me every name they could think of, useless jg, shit ganks egthen when i go 8-2 and we start to winyou know what i did",1,0,0,0,0,0
8286,this game is annoying as fuck,1,0,1,0,0,0
8292,o m y fucking god AGAIN?,1,0,1,0,0,0
8325,why the fuck do i have bard and rakan bought on this acc,1,0,1,0,0,0
8357,stupid morgana players,1,0,0,0,0,0
8396,what the fuck,1,0,1,0,1,0
8434,you still can do this type of shit,1,0,0,0,0,0
8504,"Another one of those,combo then they are fucking useless type champs",1,0,1,0,0,0
8507,unbelievable how shit some people in this game are.,1,0,0,0,0,0
8614,like holy shit make it stop,1,0,0,0,0,0
8641,thats shit,1,0,1,0,0,0
8681,Cuz of that stupid strat,1,0,0,0,0,0
8865,I just wish that he would have fucking come,1,0,1,0,0,0
8897,what a hard fucking game,1,0,1,0,0,0
8916,no fuck off,1,0,1,0,1,0
9011,gold is such a shit hole man,1,0,0,0,0,0
9017,if lucian cant poke shit with his Q he fucking dies to a full health ryze,1,0,1,0,0,0
9216,fuck shen,1,0,1,0,1,0
9219,fuck,1,0,1,0,1,0
9230,fuck that champion and his entire bullshit kit,1,0,1,0,0,0
9254,played like shit,1,0,0,0,0,0
9264,he has 60 fucking dashes,1,0,1,0,0,0
9333,ho shit,1,0,0,0,0,0
9362,what the fuck,1,0,1,0,1,0
9582,tell me that's not Chad as fuck,1,0,1,0,0,0
9600,fuck sett support,1,0,1,0,0,0
9636,i go azir a lot but my csing is shit,1,0,1,0,0,0
9656,shit fuc,1,0,1,0,0,0
