,year,total_pop,black_pct,white_pct,latinx_pct,asian_pct,other_pct,black_drive_stops,white_drive_stops,latinx_drive_stops,asian_drive_stops,other_drive_stops,black_uof,white_uof,latinx_uof,asian_uof,other_uof,city,quarter,black bias percentages,latinx bias percentages,asian bias percentages,other bias percentages,black bias score,latinx bias score,asian bias score,other bias score,average racial bias score,max racial bias score,average racial bias percentage,min racial bias percentage,black excessive force score,latinx excessive force score,asian excessive force score,other excessive force score,average excessive force score,black excessive force percent,latinx excessive force percent,asian excessive force percent,other excessive force percent,max excessive force score,average force percent,min force percent,diagnostic score,diagnostic percentile
0,2019,979263,0.07387596590497139,0.4878035828985676,0.3247503479657661,0.08122026462758218,0.032349838603112774,19520,65704,45755,8020,4434,814.0,947.0,984.0,23.0,102.0,Austin,1.0,0.17253429660082056,0.19487432771901306,0.07339101713567807,0.3341506558331193,0.9441977726950348,0.8600732686214939,1.4509921925106788,-0.4284805218585981,0.7066956779921524,1.4509921925106788,0.1937375743221577,0.07339101713567807,23.531896721066015,8.92754208517357,-22.533344657856574,4.5616149536017225,3.621927275496184,0.0,0.0,0.0,2.538083618275344e-06,23.531896721066015,6.34520904568836e-07,0.0,1.7903913673227143,0.036695508567839034
1,2018,964243,0.08125959949929634,0.48807199015186,0.32662824619935016,0.07589891759649797,0.028141246552995547,17754,57173,39946,4387,2925,638.0,686.0,656.0,18.0,96.0,Austin,1.0,0.25001994716225706,0.19487432771901306,0.4434396358883842,0.15276953078987732,-0.674426980496453,0.8600732686214939,-0.14225413652065466,-1.0246273348792565,-0.2453087958187175,0.8600732686214939,0.2602758603898829,0.15276953078987732,21.146514788832857,5.810898954270554,-14.886623004166875,9.692108780998348,5.44072487998372,0.0,3.106913171180281e-09,0.0,0.0,21.146514788832857,7.767282927950703e-10,0.0,1.429817062078418,0.07638476539493866
2,2017,950714,0.07348161487050785,0.4773265145985018,0.3418199374364951,0.07524765597224822,0.03212427712224712,19977,67347,44899,4596,5217,1170.0,2250.0,1105.0,23.0,152.0,Austin,1.0,0.22232917610772152,0.15782941528670424,0.2268667921374229,0.4481221687151937,0.7643505778959803,-1.0034188133917428,-0.7492051190087817,0.130407115348269,-0.21446655978906887,0.7643505778959803,0.26378688806176065,0.15782941528670424,16.097848609673548,-8.48042858338526,-37.656639578821604,-1.6621899492061805,-7.925352375434874,0.0,0.0,0.0,0.048237347311801404,16.097848609673548,0.012059336827950351,0.0,1.4124095188952848,0.07891470764335212
3,2016,947897,0.07336662105692918,0.4845051730304031,0.3475947281191944,0.06940733012131065,0.02512614767216273,18171,66695,45356,4327,5160,1005.0,2122.0,1141.0,37.0,129.0,Austin,1.0,0.1505397135180524,0.2367710579543321,0.28789902955217805,0.09296745844991404,-1.034121370094562,-0.7167277238512451,-0.5595329369812418,1.3227007413895853,-0.24692032238436584,1.3227007413895853,0.19204431486861914,0.09296745844991404,14.901630030271773,-6.50793300504084,-29.94184087226573,-2.708040633954349,-6.064046120247286,0.0,3.8095970822382696e-11,0.0,0.0033840867610374077,14.901630030271773,0.0008460216997833447,0.0,1.6799478719070329,0.046483729224957034
0,2019,85755,0.043,0.8140000000000001,0.041,0.099,0.039,162,777,39,50,145,72.0,216.0,2.0,4.0,2.0,Bloomington,,0.11033568095992363,0.06873642653600398,0.34180431345467893,0.4298968886488864,1.2247448713915878,1.4852679698991618,0.4075438062625769,0.17663668421168618,0.8235483329412532,1.4852679698991618,0.2376933273998733,0.06873642653600398,4.179299805333454,-3.1223397981969416,-9.32552912863344,-6.873482812906133,-3.785512983600765,1.4620399759412985e-05,0.0008970986166582096,0.0,3.1326052862823417e-12,4.179299805333454,0.00022792975488755698,0.0,1.8201482823206392,0.03436821326800199
1,2018,84981,0.0414,0.782,0.0412,0.0992,0.03563,187,993,44,65,137,67.0,250.0,7.0,0.0,0.0,Bloomington,,0.3887289249297317,0.2972056044180079,0.3960036921858269,0.1942329956086608,0.2826334318595977,-0.5324545552468691,0.2637048158169615,-0.862402634680586,-0.212129735562724,0.2826334318595977,0.3190428042855568,0.1942329956086608,3.014801968148064,-1.3932284346189718,-15.935106217304465,-6.655084120347839,-5.242154201030803,0.0012857354629762785,0.08177536190851697,0.0,1.415689787620522e-11,3.014801968148064,0.020765274346412538,0.0,1.29815815014461,0.0971164978043304
2,2017,84896,0.041,0.78,0.041,0.099,0.035,149,848,38,62,121,51.0,162.0,7.0,1.0,1.0,Bloomington,,0.3531445559784697,0.3789410466482289,0.21443860457451924,0.25636434584501977,-0.37684457581279696,-0.3082631635639769,0.7911144474508839,-0.6545947709021314,-0.13714701570700535,0.7911144474508839,0.3007221382615594,0.21443860457451924,4.154027553003117,-0.10479652627603264,-11.27031609924265,-5.028099529470443,-3.0622961504965027,1.6333690677106102e-05,0.4582686332514659,0.0,2.4768237971706236e-07,4.154027553003117,0.11457130365613068,0.0,1.2414525825706164,0.10721930228725962
3,2016,84396,0.041,0.78,0.041,0.099,0.035,87,527,23,24,121,96.0,244.0,3.0,3.0,0.0,Bloomington,,0.12912569748827252,0.2596093414859583,0.07182087195030508,0.09006404955265633,-1.1305337274383909,-0.6445502510883154,-1.4623630695304213,1.3403607213710311,-0.4742715816715241,1.3403607213710311,0.13765499011929805,0.07182087195030508,11.133192724592039,-3.138738441376156,-10.250983627983613,-9.479362056361438,-2.9339728502822915,0.0,0.0008483841347315392,0.0,0.0,11.133192724592039,0.0002120960336828848,0.0,1.800251901281534,0.03591043597515253
0,2016,2719000,0.293,0.326,0.297,0.04,0.29,105018,291186,66829,14320,3130,2664.0,301.0,512.0,11.0,177.0,Chicago,,0.2404660757492057,0.24888806955543674,0.2920240210088572,0.25347131059371386,-0.7048041083623575,-0.6779929880760329,-0.5474814051631599,-0.6636058358664388,-0.6484710843669973,-0.5474814051631599,0.2587123692268034,0.2404660757492057,78.44012520238813,32.461987460417845,-3.3758618168838983,76.72080650304629,46.061764337242096,0.0,0.0,0.000367924334797598,0.0,78.44012520238813,9.19810836993995e-05,0.0,1.17382263480923,0.12023303787460288
1,2017,2713000,0.29,0.33,0.297,0.045,0.3,120643,291555,75402,16085,3200,2648.0,245.0,477.0,23.0,177.0,Chicago,,0.2828702387801314,0.2865655331748982,0.2946477813041913,0.254495692894503,-0.5743359629358292,-0.5634462275335067,-0.5398571327827411,-0.6604090193146944,-0.5845120856416928,-0.5398571327827411,0.27964481153843107,0.254495692894503,73.86330028682791,30.300400901266688,6.6818341323105575,81.05221074980545,47.974436517552654,0.0,0.0,1.1798451104994001e-11,0.0,81.05221074980545,2.9496127762485003e-12,0.0,1.1394975420425362,0.1272478464472515
