,Citation Number,Date Issued,Time Issued,Location ,District,Cited Person Age,Cited Person Sex,Cited Person Race,Offense Code,Offense Description,Officer Age,Officer Sex,Officer Race,Quarter,Year
446,C3058,2016-06-04,10:00:00,S LINCOLN ST & E 3RD ST,LB104,22,M,W,9-21-8-32,DISREGARDING STOP SIGN,25,M,W,2,2016
447,C3047,2016-06-04,10:10:00,S CURRY PIKE & W 3RD ST,LB402,33,F,W,9-18-2-7,EXPIRED LICENSE PLATES,49,F,W,2,2016
448,C3048,2016-06-05,00:36:00,E MILLER DR & S WALNUT ST,LB421,21,M,W,9-18-2-27,FALSE REGISTRATION,28,M,W,2,2016
449,C3043,2016-06-06,12:19:00,Unknown,Unknown,41,M,W,9-24-1-1,"LICENSES, CLASSES OF",51,F,W,2,2016
450,C3044,2016-06-06,15:05:00,E NORTH DR & S WALNUT ST,LB421,44,M,W,9-18-2-7,EXPIRED LICENSE PLATES,34,M,W,2,2016
451,C3057,2016-06-07,22:37:00,N CURRY PIKE & W JONATHAN DR,LMN09,31,F,U,9-18-2-27,FALSE REGISTRATION,35,M,W,2,2016
452,C3059,2016-06-07,23:14:00,S MULLER PKWY & W 3RD ST,LB522,21,F,U,9-18-2-7,EXPIRED LICENSE PLATES,36,M,W,2,2016
453,C3075,2016-06-09,23:21:00,W TAPP RD & S STATE ROAD 37,LMS27,38,F,W,9-19-11-2,CHILD RESTRAINT UNDER 3 YEARS,35,M,W,2,2016
454,C3074,2016-06-09,22:32:00,S MULLER PKWY & W 3RD ST,LB522,30,M,W,9-24-19-1,DRIVING WHILE SUSPENDED,35,M,W,2,2016
455,C3076,2016-06-09,22:55:00,N WALNUT ST & E 6TH ST,LB101,25,M,B,9-24-19-1,DRIVING WHILE SUSPENDED,29,F,W,2,2016
456,C3077,2016-06-09,10:56:00,N WALNUT ST & E 6TH ST,LB101,25,M,B,9-18-2-7,EXPIRED LICENSE PLATES,29,F,W,2,2016
457,C3078,2016-06-09,17:15:00,S COLLEGE MALL RD & E BUICK CADILLAC BLVD,LB305,30,F,W,9-18-2-7,EXPIRED LICENSE PLATES,34,M,W,2,2016
458,C3061,2016-06-10,01:55:00,2000 S STATE ROAD 37,LB416,29,F,W,9-21-5-1,UNREASONABLE SPEED,35,M,W,2,2016
459,C3070,2016-06-10,17:23:00,S ROCKPORT RD & W COUNTRYSIDE LN,LB423,20,F,W,9-30-5-8.5,"OP VEH W/.02-.08 BAC, < 21 YRS",38,M,W,2,2016
460,C3072,2016-06-10,17:05:00,200 E STATE ROAD 45 46 BYPASS,LB212,50,M,L,9-24-13-3,POSSESSION REQUIRED,29,M,W,2,2016
461,C3073,2016-06-12,09:08:00,600 S SMITH RD,LB306,18,F,W,9-24-19-1,DRIVING WHILE SUSPENDED,57,M,W,2,2016
462,C3071,2016-06-12,23:56:00,S WOODSCREST DR & E 3RD ST,LB222,25,M,B,9-18-2-7,EXPIRED LICENSE PLATES,29,F,W,2,2016
463,C3086,2016-06-13,12:42:00,2400 S WALNUT ST,LB422,26,M,B,9-21-5-2,SPEED MAXIMUM,42,M,W,2,2016
464,C3088,2016-06-13,14:51:00,CRESCENT & MARQUIS,LB516,33,M,B,9-24-19-1,DRIVING WHILE SUSPENDED,24,M,B,2,2016
465,C3087,2016-06-14,19:32:00,S WOODSCREST DR & E 3RD ST,LB304,35,M,B,9-24-19-1,DRIVING WHILE SUSPENDED,35,M,W,2,2016
466,C3107,2016-06-16,23:24:00,W STATE ROAD 45 & S CURRY PIKE,LB427,44,M,W,9-25-4-1,NO FINANCIAL RESPONSIBILITY,35,M,W,2,2016
467,C3110,2016-06-17,15:00:00,S WALNUT ST & E GRIMES LN,Unknown,37,M,B,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,35,F,W,2,2016
468,C3116,2016-06-17,16:59:00,N INDIANA AVE & E 9TH ST,LB102,23,M,U,9-21-8-9,WRONG WAY ON ONE WAY,35,F,W,2,2016
469,C3119,2016-06-17,10:08:00,S WALNUT ST & E 1ST ST,LB410,41,F,W,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,47,M,W,2,2016
470,C3112,2016-06-18,17:29:00,S WASHINGTON ST & E 3RD ST,LB104,22,M,B,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,26,M,W,2,2016
471,C3123,2016-06-18,15:00:00,S DUNN ST & E KIRKWOOD AVE,LB102,21,F,W,9-21-8-32,DISREGARDING STOP SIGN,34,M,W,2,2016
472,C3121,2016-06-18,19:17:00,W 3RD ST & S KIMBLE DR,LB523,52,M,W,9-18-2-7,EXPIRED LICENSE PLATES,35,M,W,2,2016
473,C3122,2016-06-18,16:43:00,S COLLEGE MALL RD & E 3RD ST,LB305,65,F,W,9-18-2-7,EXPIRED LICENSE PLATES,25,M,W,2,2016
474,C3120,2016-06-19,20:44:00,W 3RD ST & S KIMBLE DR,LB404,42,M,B,9-24-1-1,"LICENSES, CLASSES OF",29,F,W,2,2016
475,C3125,2016-06-19,23:34:00,E 3RD ST & S KINGSTON DR,LB305,21,F,U,9-24-19-1,DRIVING WHILE SUSPENDED,21,M,B,2,2016
476,C2117,2016-06-20,00:28:00,553 S DOLIMAH AVE,LB406,22,M,W,14.09.030,NOISE VIOLATION,27,M,W,2,2016
477,C3126,2016-06-21,19:42:00,W 3RD ST & S LIBERTY DR,LB403,50,M,W,9-24-19-1,DRIVING WHILE SUSPENDED,26,M,W,2,2016
478,C3127,2016-06-22,16:10:00,400 E BLUE RIDGE DR,LB208,33,M,W,4.16.020,Solicitor/Business License Required,35,F,W,2,2016
479,C3130,2016-06-25,00:05:00,E 3RD ST & S HILLSDALE DR,LB222,19,F,W,9-24-19-1,DRIVING WHILE SUSPENDED,31,M,W,2,2016
480,C3132,2016-06-25,17:14:00,S WOODLAWN AVE & E 2ND ST,LB302,21,M,B,9-21-8-32,DISREGARDING STOP SIGN,24,M,B,2,2016
481,C3128,2016-06-26,00:46:00,S DEBORAH DR & W TAPP RD,LB429,24,M,U,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,35,M,W,2,2016
482,C3129,2016-06-26,00:46:00,S DEBORAH DR & W TAPP RD,LB429,24,M,U,9-18-2-27,FALSE REGISTRATION,35,M,W,2,2016
483,C3142,2016-06-26,21:44:00,N COLLEGE AVE & W 9TH ST,LB101,32,M,W,9-25-4-3,FAIL TO MAIN FINANCIAL RESPONS,29,M,W,2,2016
484,C3143,2016-06-26,21:44:00,N COLLEGE AVE & W 9TH ST,LB101,32,M,W,9-24-19-1,DRIVING WHILE SUSPENDED,29,M,W,2,2016
485,C3131,2016-06-26,16:20:00,E 3RD ST & S HILLSDALE DR,LB222,28,F,A,9-18-2-1,REGISTRATION REQUIRED W/IN 60D,34,M,W,2,2016
486,C3133,2016-06-27,13:44:00,W 3RD ST & S ROGERS ST,LB103,29,M,W,9-18-2-7,EXPIRED LICENSE PLATES,51,F,W,2,2016
487,C3135,2016-06-28,17:04:00,N MAPLE ST & W 11TH ST,LB518,52,M,W,9-21-8-32,DISREGARDING STOP SIGN,23,M,W,2,2016
488,C3139,2016-06-28,23:43:00,416 S DUNN ST,LB104,21,M,W,14.09.030,NOISE VIOLATION,21,M,B,2,2016
489,C3138,2016-06-28,22:35:00,1100 W 11TH ST; COMMUNITY KITCHEN 11TH ST EXPRESS,LB517,23,M,W,9-24-7-4,LEARNERS PERMIT,30,M,B,2,2016
490,C3136,2016-06-29,16:40:00,101 W 2ND ST,LB410,31,M,B,14.09.030,NOISE VIOLATION,25,M,W,2,2016
491,C3134,2016-06-29,04:14:00,S STATE ROAD 37 & W 3RD ST,LB403,22,F,U,9-21-5-6,EXCEEDING POSTED SPEED LIMIT,35,M,W,2,2016
492,C3137,2016-06-29,15:32:00,W STATE ROAD 45 46 BYPASS & N STATE ROAD 37 RAMP,LB509,29,M,W,9-18-2-7,EXPIRED LICENSE PLATES,27,M,W,2,2016
493,C3140,2016-06-30,20:48:00,N MONROE ST & W 16TH ST,LB517,21,M,B,9-18-2-27,FALSE REGISTRATION,39,M,W,2,2016
494,C3146,2016-06-30,10:01:00,S ROCKPORT RD & W TAPP RD,LB432,25,F,W,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,46,M,W,2,2016
495,C3141,2016-06-30,21:39:00,N COLLEGE AVE & W 17TH ST,LB519,27,F,W,9-24-19-1,DRIVING WHILE SUSPENDED,33,M,W,2,2016
496,Unknown,2016-06-30,23:27:00,1600 N WILLIS DR,LB513,28,M,W,9-24-19-1,DRIVING WHILE SUSPENDED,30,M,B,2,2016
497,C3147,2016-06-30,01:53:00,COVENANTER & AUTO MALL RD,LB310,22,F,U,9-21-8-41,TRAFFIC CONTROL DEVICE DIS,32,M,W,2,2016
498,C3144,2016-07-01,11:06:00,E 10TH & BYPASS,LB222,29,M,W,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,56,M,W,3,2016
499,C3148,2016-07-02,17:11:00,500 S LIBERTY DR; KROGER WHITEHALL,LB403,30,F,W,9-21-16-5,PROHIBITED PARKING,24,M,B,3,2016
500,C3412,2016-07-02,13:13:00,2500 S LEONARD SPRINGS RD,LB427,23,M,W,9-21-8-34,"FAILURE TO YIELD-DRVWY,PRIV RD",46,M,W,3,2016
501,C3187,2016-07-04,08:14:00,N SPRING ST & W 8TH ST,LB521,33,M,B,9-24-13-3,POSSESSION REQUIRED,27,M,W,3,2016
502,C3192,2016-07-05,22:45:00,S WALNUT ST & W DODDS ST,LB411,53,M,W,9-24-19-1,DRIVING WHILE SUSPENDED,35,M,W,3,2016
503,C3188,2016-07-05,14:31:00,S PATTERSON DR & W 3RD ST,LB406,21,M,W,9-18-2-7,EXPIRED LICENSE PLATES,27,M,W,3,2016
504,C3263,2016-07-06,14:45:00,E 17TH ST & N STATE ROAD 45 46 BYPASS,LIU05,19,F,U,9-24-19-1,DRIVING WHILE SUSPENDED,25,M,W,3,2016
505,C3268,2016-07-06,23:38:00,N WALNUT ST & E 19TH ST,LB512,36,M,W,9-18-2-27,FALSE REGISTRATION,24,M,W,3,2016
506,C3193,2016-07-06,00:13:00,W 3RD ST & S ROGERS ST,LB103,23,M,U,9-18-2-7,EXPIRED LICENSE PLATES,35,M,W,3,2016
507,C3267,2016-07-06,15:40:00,S PATTERSON DR & W 3RD ST,LB406,66,F,W,9-18-2-7,EXPIRED LICENSE PLATES,23,M,W,3,2016
508,C3262,2016-07-06,22:00:00,N COLLEGE AVE & 10TH ST,LB101,25,M,W,9-18-2-7,EXPIRED LICENSE PLATES,34,M,W,3,2016
