,Citation Number,Date Issued,Time Issued,Location ,District,Cited Person Age,Cited Person Sex,Cited Person Race,Offense Code,Offense Description,Officer Age,Officer Sex,Officer Race,Quarter,Year
571,C3445,2016-07-26,22:54:00,W BLOOMFIELD RD & S STATE ROAD 37,LB417,24,M,W,9-21-5-11(C)2,SPEED IN WORKSITE,29,F,W,3,2016
572,C3447,2016-07-26,22:30:00,N STATE ROAD 37 & W ACUFF RD,LMN14,27,M,W,9-21-5-11,SPEED LIMIT WORKSITES,29,F,W,3,2016
573,C3451,2016-07-26,22:48:00,N WALNUT ST & N OLD STATE ROAD 37,LB212,49,M,W,9-24-19-1,DRIVING WHILE SUSPENDED,25,M,W,3,2016
574,C3456,2016-07-27,21:00:00,Unknown,Unknown,29,F,W,Unknown,Unknown,33,M,W,3,2016
575,C3444,2016-07-27,12:42:00,S STATE ROAD 37 & W 3RD ST,LB403,25,M,W,9-21-5-11(C)2,SPEED IN WORKSITE,29,F,W,3,2016
576,C3443,2016-07-27,12:21:00,W BLOOMFIELD RD & S STATE ROAD 37,LB417,34,F,W,9-21-5-11,SPEED LIMIT WORKSITES,29,F,W,3,2016
577,C3448,2016-07-27,12:03:00,W VERNAL PIKE & N STATE ROAD 37 45,LB516,40,M,W,9-21-5-11,SPEED LIMIT WORKSITES,29,F,W,3,2016
578,C3446,2016-07-27,01:01:00,W BLOOMFIELD RD & S STATE ROAD 37,LB417,25,M,W,9-21-5-11(C)2,SPEED IN WORKSITE,29,F,W,3,2016
579,C3452,2016-07-27,03:06:00,E 17TH ST & N STATE ROAD 45 46 BYPASS,LIU05,30,M,L,9-24-19-1,DRIVING WHILE SUSPENDED,26,M,W,3,2016
580,C3455,2016-07-27,22:13:00,N COLLEGE AVE & W 7TH ST,LB101,26,M,W,9-18-2-7,EXPIRED LICENSE PLATES,21,M,B,3,2016
581,C3458,2016-07-28,13:10:00,3021 E 3RD ST; SPEEDWAY EAST,LB221,59,M,B,9-24-19-1,DRIVING WHILE SUSPENDED,49,M,W,3,2016
582,C3454,2016-07-28,22:55:00,S OLD STATE ROAD 37 & W CHURCH LN,LMS05,55,M,W,9-21-8-2,LEFT OF CENTER,26,M,W,3,2016
583,C3453,2016-07-28,01:34:00,3702 W 3RD ST; TACO BELL WEST,LB524,17,M,W,35-46-1-10.5,PURCHASE/POSSESS TOBACCO MINOR,30,M,B,3,2016
584,C3461,2016-07-29,16:00:00,S MADISON ST & W PATTERSON DR,LB412,22,U,W,9-18-2-7,EXPIRED LICENSE PLATES,23,M,W,3,2016
585,C3462,2016-07-29,20:48:00,S WASHINGTON ST & E HILLSIDE DR,LB314,36,F,W,9-24-19-1,DRIVING WHILE SUSPENDED,29,F,W,3,2016
586,C3460,2016-07-29,13:00:00,S WASHINGTON ST & E 1ST ST,LB301,23,F,W,9-21-8-32,DISREGARDING STOP SIGN,36,M,W,3,2016
587,C3463,2016-07-30,20:01:00,S WASHINGTON ST & E 1ST ST,LB301,22,M,A,9-24-19-1,DRIVING WHILE SUSPENDED,30,M,W,3,2016
588,C3464,2016-07-31,18:26:00,N STATE ROAD 37 & W ACUFF RD,LMN14,21,F,W,9-21-5-2(1),EXCEEDING URBAN SPEED LIMIT,28,M,W,3,2016
589,C3466,2016-08-01,22:50:00,N STATE ROAD 37 & W ACUFF RD,LMN14,38,M,W,9-21-5-11,SPEED LIMIT WORKSITES,34,M,W,3,2016
590,C3468,2016-08-02,23:47:00,S LINCOLN ST & E 3RD ST,LB104,24,M,W,9-18-2-7,EXPIRED LICENSE PLATES,30,M,W,3,2016
591,C3469,2016-08-03,20:55:00,N COLLEGE AVE & W 15TH ST,LB519,23,M,B,9-24-19-1,DRIVING WHILE SUSPENDED,34,M,W,3,2016
592,C3472,2016-08-03,23:00:00,W STATE ROAD 45 46 BYPASS & N STATE ROAD 37 RAMP,LB509,21,M,B,9-24-19-1,DRIVING WHILE SUSPENDED,34,M,W,3,2016
593,C3467,2016-08-03,02:04:00,S DUNN ST & E KIRKWOOD AVE,LB102,20,M,W,9-19-14-5.5,"RED/WHT, RED/BLU, RED OR AMBER LIGHT VIOLATION",30,M,B,3,2016
594,C3470,2016-08-04,13:12:00,600 N COLLEGE AVE,LB519,21,M,W,9-24-19-1,DRIVING WHILE SUSPENDED,57,M,W,3,2016
595,C3471,2016-08-04,13:39:00,N ROGERS ST & W 6TH ST,LB101,24,M,W,9-24-19-1,DRIVING WHILE SUSPENDED,34,M,W,3,2016
596,C3471,2016-08-04,13:39:00,N ROGERS ST & W 6TH ST,LB101,24,M,W,9-18-2-27,FALSE REGISTRATION,34,M,W,3,2016
597,C3473,2016-08-06,19:16:00,S HENDERSON ST & S BRANDON CT,LB326,29,M,W,9-18-2-7,EXPIRED LICENSE PLATES,29,F,W,3,2016
598,C3474,2016-08-07,15:37:00,N MAPLE ST & W 11TH ST,LB518,58,F,W,9-21-8-32,DISREGARDING STOP SIGN,24,M,W,3,2016
599,C3475,2016-08-07,20:25:00,S MADISON ST & W COUNTRY CLUB DR,LB423,36,M,W,9-21-8-23,UNSAFE START,38,M,W,3,2016
600,C3483,2016-08-08,23:40:00,STATE RD 37 & TAPP RD,Unknown,42,F,W,9-24-19-1,DRIVING WHILE SUSPENDED,39,M,W,3,2016
601,C3484,2016-08-08,22:25:00,S STATE ROAD 37 & W 3RD ST,LB403,21,M,U,9-21-5-3,EXCEEDING POSTED SPEED LIMIT,39,M,W,3,2016
602,C3477,2016-08-08,19:49:00,S PATTERSON DR & W 3RD ST,LB406,18,F,W,9-18-2-7,EXPIRED LICENSE PLATES,27,M,W,3,2016
603,C3486,2016-08-09,17:05:00,E 4TH ST & S INDIANA AVE,LIU14,30,F,W,9-21-8-32,DISREGARDING STOP SIGN,24,M,B,3,2016
604,C3478,2016-08-09,02:08:00,N STATE ROAD 45 46 BYPASS & N FEE LN,LB211,49,F,W,9-24-19-1,DRIVING WHILE SUSPENDED,36,M,W,3,2016
605,C3497,2016-08-09,16:30:00,101 W 2ND ST; SEMINARY PARK,LB410,55,M,W,14.36.090,CONSUMPTION OF ALCOHOL IN PUBLIC,27,M,W,3,2016
606,C3481,2016-08-09,18:15:00,W GOURLEY PIKE & N KINSER PIKE,LB512,40,M,L,9-24-1-1,"LICENSES, CLASSES OF",34,M,W,3,2016
607,C3481,2016-08-09,18:15:00,W GOURLEY PIKE & N KINSER PIKE,LB512,40,M,L,9-24-19-1,DRIVING WHILE SUSPENDED,34,M,W,3,2016
608,C3485,2016-08-09,16:04:00,N KINSER PIKE & N STATE ROAD 37,LMN20,58,M,U,9-21-5-3,EXCEEDING POSTED SPEED LIMIT,28,M,W,3,2016
609,C3500,2016-08-10,16:31:00,PATTERSON DR & S WALNUT  ST,Unknown,31,M,W,9-24-19-1,DRIVING WHILE SUSPENDED,38,M,W,3,2016
610,C3824,2016-08-10,22:53:00,W TAPP RD & S STATE ROAD 37,LMS22,26,F,W,9-21-5-11(C)2,SPEED IN WORKSITE,33,M,W,3,2016
611,C3499,2016-08-10,16:11:00,N MONROE ST & W 17TH ST,LB517,27,F,B,9-24-19-1,DRIVING WHILE SUSPENDED,27,M,W,3,2016
612,C3505,2016-08-11,11:42:00,S WALNUT STREET PIKE & E WINSLOW RD,LB327,26,M,W,9-19-10-2,FRONT SEAT PASSENGER RESTRAINT,39,M,W,3,2016
613,C3506,2016-08-11,23:36:00,S STATE ROAD 37 & W 3RD ST,LB403,25,M,W,9-24-19-1,DRIVING WHILE SUSPENDED,38,M,W,3,2016
614,C3503,2016-08-11,00:02:00,W KIRKWOOD AVE & N MORTON ST,LB101,29,F,W,9-18-2-7,EXPIRED LICENSE PLATES,36,M,W,3,2016
615,C3507,2016-08-11,14:40:00,W 11TH ST & N ROGERS ST,LB519,47,F,U,9-18-2-7,EXPIRED LICENSE PLATES,35,M,W,3,2016
616,C3504,2016-08-11,15:38:00,S WALNUT ST & E WINSLOW RD,LB422,25,M,B,9-24-19-1,DRIVING WHILE SUSPENDED,36,M,W,3,2016
617,C3710,2016-08-12,23:16:00,N WILLIS DR & W ARLINGTON VALLEY DR,LB513,22,M,W,9-24-19-1,DRIVING WHILE SUSPENDED,24,M,W,3,2016
618,C3508,2016-08-12,09:58:00,W STATE ROAD 45 46 BYPASS & N STATE ROAD 37 RAMP,LB509,25,M,W,9-21-5-3,EXCEEDING POSTED SPEED LIMIT,41,M,W,3,2016
619,C3510,2016-08-12,11:40:00,S ADAMS ST & W 2ND ST,LB406,59,M,L,9-18-2-7,EXPIRED LICENSE PLATES,37,M,W,3,2016
620,C3769,2016-08-13,00:35:00,101 W 2ND ST; SEMINARY PARK,LB410,55,M,B,14.36.090,CONSUMPTION OF ALCOHOL IN PUBLIC,25,M,W,3,2016
621,C3512,2016-08-13,16:47:00,W 3RD ST & S KIMBLE DR,LB404,51,F,W,9-18-2-7,EXPIRED LICENSE PLATES,23,M,W,3,2016
622,C3509,2016-08-13,03:02:00,S VALLEY FORGE RD & E MOORES PIKE,LB318,37,F,W,9-21-8-2,LEFT OF CENTER,23,M,W,3,2016
623,C3714,2016-08-14,15:50:00,W VERNAL PIKE & N STATE ROAD 37 45,LB516,26,M,W,9-21-5-3,EXCEEDING POSTED SPEED LIMIT,39,M,W,3,2016
624,C3716,2016-08-14,15:37:00,W STATE ROAD 45 46 BYPASS & N STATE ROAD 37 RAMP,LB509,32,M,U,9-21-5-3,EXCEEDING POSTED SPEED LIMIT,39,M,W,3,2016
625,C3717,2016-08-14,14:48:00,W VERNAL PIKE & N STATE ROAD 37 45,LB516,31,M,B,9-24-19-1,DRIVING WHILE SUSPENDED,39,M,W,3,2016
626,C3712,2016-08-14,14:08:00,W STATE ROAD 45 46 BYPASS & N STATE ROAD 37 RAMP,LB509,23,M,W,9-21-5-3,EXCEEDING POSTED SPEED LIMIT,39,M,W,3,2016
627,C3733,2016-08-16,20:28:00,S COLLEGE MALL RD & E COVENANTER DR,LB310,52,F,W,9-21-8-14,FOLLOWING TOO CLOSELY,22,M,L,3,2016
628,C3744,2016-08-16,22:12:00,S STATE ROAD 37 & W 3RD ST,LB403,23,M,W,9-21-5-3,EXCEEDING POSTED SPEED LIMIT,39,M,W,3,2016
629,C3745,2016-08-16,22:12:00,S STATE ROAD 37 & W 3RD ST,LB403,23,M,W,9-18-2-27,FALSE REGISTRATION,39,M,W,3,2016
630,C3743,2016-08-16,21:48:00,S STATE ROAD 37 & W 3RD ST,LB403,26,F,A,9-21-5-3,EXCEEDING POSTED SPEED LIMIT,39,M,W,3,2016
631,C3742,2016-08-16,21:14:00,S STATE ROAD 37 & W 3RD ST,LB403,23,M,A,9-21-5-3,EXCEEDING POSTED SPEED LIMIT,39,M,W,3,2016
632,C3775,2016-08-16,23:38:00,315 E 7TH ST; BRUMMETT HOUSE,LB102,21,M,W,14.09.030,NOISE VIOLATION,24,M,W,3,2016
633,C3774,2016-08-16,23:35:00,315 E 7TH ST; BRUMMETT HOUSE,LB102,21,M,U,14.09.030,NOISE VIOLATION,24,M,W,3,2016
634,C3776,2016-08-16,23:35:00,315 E 7TH ST; BRUMMETT HOUSE,LB102,21,M,U,14.09.030,NOISE VIOLATION,24,M,W,3,2016
635,C3728,2016-08-16,15:00:00,W 2ND ST & S PATTERSON DR,LB406,66,F,W,9-18-2-7,EXPIRED LICENSE PLATES,23,M,W,3,2016
636,C3514,2016-08-16,01:22:00,N WALNUT ST & E 7TH ST,LB102,18,M,W,9-19-6-3,NO OR IMPROPER HEADLIGHTS,23,M,W,3,2016
637,C3722,2016-08-16,16:06:00,S MORTON ST & W 2ND ST,LB409,19,F,B,9-24-19-1,DRIVING WHILE SUSPENDED,29,F,W,3,2016
638,C3725,2016-08-16,16:06:00,S MORTON ST & W 2ND ST,LB409,19,F,B,9-18-2-7,EXPIRED LICENSE PLATES,29,F,W,3,2016
639,C3741,2016-08-16,23:27:00,N MADISON ST & W 17TH ST,LB519,21,M,L,9-24-19-1,DRIVING WHILE SUSPENDED,26,M,W,3,2016
640,C3720,2016-08-16,10:16:00,S COLLEGE MALL RD & E 3RD ST,LB305,47,M,W,9-18-2-29,VEHICLES REQUIRING REGISTRATION,39,F,W,3,2016
641,C3746,2016-08-17,23:03:00,N WALNUT ST & E 14TH ST,LB213,24,M,U,9-18-2-7,EXPIRED LICENSE PLATES,35,M,W,3,2016
642,C3747,2016-08-17,22:50:00,S STATE ROAD 37 & W 3RD ST,LB403,19,M,B,9-21-5-11,SPEED LIMIT WORKSITES,33,M,W,3,2016
643,C3748,2016-08-17,22:30:00,S WOODSCREST DR & E 3RD ST,LB222,21,M,L,9-21-3-7,DISREGARDING AUTOMATIC SIGNAL,33,M,W,3,2016
644,C3881,2016-08-17,01:08:00,N STATE ROAD 37 & W ACUFF RD,LMN14,68,M,W,9-21-5-2,SPEED MAXIMUM,28,M,W,3,2016
645,C3882,2016-08-17,00:58:00,N STATE ROAD 37 & W ACUFF RD,LMN14,19,F,B,9-21-5-2,SPEED MAXIMUM,28,M,W,3,2016
646,C3883,2016-08-17,00:36:00,W ARLINGTON SR 37 OVERPASS,LMN14,22,F,A,9-21-5-2,SPEED MAXIMUM,28,M,W,3,2016
647,C3880,2016-08-17,00:04:00,N STATE ROAD 37 & W ACUFF RD,LMN14,27,F,W,9-21-5-2,SPEED MAXIMUM,28,M,W,3,2016
648,C3777,2016-08-17,00:22:00,345 S COLLEGE AVE; MIDTOWN LOFTS; APT 407,LB103,19,M,W,14.09.030,NOISE VIOLATION,42,M,W,3,2016
649,C3750,2016-08-18,20:49:00,S ROGERS ST & W 2ND ST,LB409,68,M,W,9-18-2-7,EXPIRED LICENSE PLATES,29,F,W,3,2016
650,C3646,2016-08-18,22:09:00,N STATE ROAD 37 RAMP & W STATE ROAD 45 46 BYPASS,LMN12,20,M,W,9-21-5-2,SPEED MAXIMUM,28,M,W,3,2016
651,C3751,2016-08-18,20:17:00,S GRANT ST & E 3RD ST,LB104,29,M,W,9-24-19-1,DRIVING WHILE SUSPENDED,36,M,W,3,2016
652,C3761,2016-08-19,19:42:00,E 3RD ST & S BRYAN AVE,LB304,22,M,A,9-21-5-2,SPEED MAXIMUM,35,F,W,3,2016
653,C3763,2016-08-19,19:42:00,E 3RD ST & S BRYAN AVE,LB304,22,M,A,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,35,F,W,3,2016
654,C3749,2016-08-19,12:07:00,W STATE ROAD 45 46 BYPASS & N STATE ROAD 37 RAMP,LB509,19,M,W,9-21-5-2,SPEED MAXIMUM,28,M,W,3,2016
655,C3757,2016-08-20,21:55:00,S FRANKLIN RD & W 3RD ST,LB404,28,M,L,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,33,M,W,3,2016
656,C3755,2016-08-20,23:32:00,S BANTA AVE & W COUNTRY CLUB DR,LB423,33,F,W,9-25-4-1,NO FINANCIAL RESPONSIBILITY,22,M,L,3,2016
657,C3753,2016-08-20,22:48:00,S WALNUT ST & E SOUTH DR,LB422,24,M,W,9-24-19-1,DRIVING WHILE SUSPENDED,38,M,W,3,2016
658,C3779,2016-08-20,23:37:00,817 N WASHINGTON ST,LB213,23,M,W,14.09.030,NOISE VIOLATION,23,M,W,3,2016
659,C3778,2016-08-20,23:36:00,817 N WASHINGTON ST,LB213,19,M,W,14.09.030,NOISE VIOLATION,26,M,W,3,2016
660,C3759,2016-08-20,12:04:00,N STATE ROAD 37 & W ACUFF RD,LMN14,41,M,U,9-21-5-2,SPEED MAXIMUM,28,M,W,3,2016
661,C3648,2016-08-21,22:40:00,N ROGERS ST & W 7TH ST,LB101,18,M,B,9-21-7-3,LIGHTS; REQUIREMENTS AND RESTRICTIONS,23,M,W,3,2016
662,C3647,2016-08-21,14:45:00,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,54,M,W,14.36.090,CONSUMPTION OF ALCOHOL IN PUBLIC,28,M,W,3,2016
663,C3764,2016-08-22,19:15:00,S ROGERS ST & W HILLSIDE DR,LB412,30,M,W,9-18-2-29,VEHICLES REQUIRING REGISTRATION,34,M,W,3,2016
664,C3820,2016-08-22,23:01:00,W STATE ROAD 45 46 BYPASS & N STATE ROAD 37 RAMP,LB509,20,F,W,9-21-5-11,SPEED LIMIT WORKSITES,34,M,W,3,2016
665,C3821,2016-08-23,16:07:00,N RANGE RD & N STATE ROAD 45 46 BYPASS,LIU10,50,F,U,9-18-2-7,EXPIRED LICENSE PLATES,35,F,W,3,2016
666,C3819,2016-08-23,19:20:00,S PATTERSON DR & S ADAMS ST,LB406,20,F,W,9-18-2-7,EXPIRED LICENSE PLATES,29,F,W,3,2016
667,C3818,2016-08-24,00:40:00,702 N COLLEGE AVE; APT 15,LB519,20,M,U,14.09.030,NOISE VIOLATION,24,M,W,3,2016
668,C3827,2016-08-24,19:42:00,S HIGH ST & E 3RD ST,LB222,19,F,W,9-21-3-7,DISREGARDING AUTOMATIC SIGNAL,21,M,B,3,2016
669,C3828,2016-08-25,22:23:00,E MILLER DR & S WALNUT ST,LB421,19,F,U,9-25-4-1,NO FINANCIAL RESPONSIBILITY,22,M,L,3,2016
670,C3875,2016-08-25,18:08:00,2300 S ROGERS ST,LB423,42,M,W,9-24-19-1,DRIVING WHILE SUSPENDED,28,M,W,3,2016
671,C3836,2016-08-26,23:55:00,1315 N LINCOLN ST,LB212,20,M,W,14.09.030,NOISE VIOLATION,31,M,W,3,2016
672,C3839,2016-08-26,23:55:00,1315 N LINCOLN ST,LB212,21,M,W,14.09.030,NOISE VIOLATION,31,M,W,3,2016
673,C3843,2016-08-26,23:55:00,1345 N LINCOLN ST,LB212,21,M,W,14.09.030,NOISE VIOLATION,31,M,W,3,2016
674,C3844,2016-08-26,23:55:00,1345 N LINCOLN ST,LB212,21,M,W,14.09.030,NOISE VIOLATION,31,M,W,3,2016
675,C3845,2016-08-26,23:55:00,1345 N LINCOLN ST,LB212,21,M,W,14.09.030,NOISE VIOLATION,31,M,W,3,2016
676,C3837,2016-08-26,23:55:00,1315 N LINCOLN ST,LB212,23,M,W,14.09.030,NOISE VIOLATION,33,M,W,3,2016
677,C3838,2016-08-26,23:55:00,1315 N LINCOLN ST,LB212,20,M,U,14.09.030,NOISE VIOLATION,33,M,W,3,2016
678,C3840,2016-08-26,23:55:00,1315 N LINCOLN ST,LB212,20,M,W,14.09.030,NOISE VIOLATION,33,M,W,3,2016
679,C3841,2016-08-26,23:55:00,1345 N LINCOLN ST,LB212,21,M,W,14.09.030,NOISE VIOLATION,33,M,W,3,2016
680,C3842,2016-08-26,23:55:00,1345 N LINCOLN ST,LB212,21,M,W,14.09.030,NOISE VIOLATION,33,M,W,3,2016
681,C3826,2016-08-26,00:53:00,601 E 7TH ST; SIGMA CHI,LB215,21,M,W,14.09.030,NOISE VIOLATION,23,M,W,3,2016
682,C3835,2016-08-27,13:12:00,S ROGERS ST & W KIRKWOOD AVE,LB101,32,M,W,9-18-2-7,EXPIRED LICENSE PLATES,51,F,W,3,2016
683,C3846,2016-08-27,22:00:00,335 S JORDAN AVE,LB303,20,M,W,14.09.030,NOISE VIOLATION,31,M,W,3,2016
684,C3833,2016-08-27,16:00:00,1175 S COLLEGE MALL RD; KROGER JACKSON CREEK,LB310,19,M,W,7.1-5-7-3,POSSESSION/FALSE ID,27,M,W,3,2016
685,C3832,2016-08-27,16:15:00,S GENTRY ST & W KIRKWOOD AVE,LB103,19,F,W,9-19-10-2,FRONT SEAT PASSENGER RESTRAINT,34,M,W,3,2016
686,C3834,2016-08-28,07:03:00,W JACOB DR & S GATES DR,LB524,25,M,W,9-18-2-7,EXPIRED LICENSE PLATES,51,F,W,3,2016
687,C3831,2016-08-29,19:25:00,S WILLIAMSBURG DR & E 3RD ST,LB305,19,F,W,9-19-10-2,FRONT SEAT PASSENGER RESTRAINT,34,M,W,3,2016
688,C3830,2016-08-29,15:00:00,S WALNUT ST & E GRIMES LN,LB411,21,F,W,9-19-6-4,IMPROPER TAIL/LICENSE PLATE LI,34,M,W,3,2016
689,C3874,2016-08-29,15:00:00,S WALNUT ST & E GRIMES LN,LB411,21,F,W,9-18-2-7,EXPIRED LICENSE PLATES,34,M,W,3,2016
690,C3879,2016-08-30,19:53:00,S CURRY PIKE & W 3RD ST,LB402,26,M,W,9-24-19-1,DRIVING WHILE SUSPENDED,23,M,W,3,2016
691,C3878,2016-08-30,17:50:00,S COLLEGE AVE & W 4TH ST,LB103,52,M,W,9-18-2-7,EXPIRED LICENSE PLATES,34,M,W,3,2016
692,C3877,2016-08-30,15:10:00,N WALNUT ST & E 7TH ST,LB102,30,F,B,9-19-10-2,FRONT SEAT PASSENGER RESTRAINT,34,M,W,3,2016
693,C3876,2016-08-30,14:39:00,S WALNUT ST & W COUNTRY CLUB DR,LB422,20,F,W,9-18-2-7,EXPIRED LICENSE PLATES,35,M,W,3,2016
694,C3888,2016-08-31,17:46:00,W 3RD ST & S LIBERTY DR,LB403,30,F,U,9-18-2-7,EXPIRED LICENSE PLATES,35,M,W,3,2016
695,C3889,2016-08-31,14:55:00,W BLOOMFIELD RD & S STATE ROAD 37,LB417,22,F,W,9-24-19-1,DRIVING WHILE SUSPENDED,21,M,B,3,2016
696,C3886,2016-08-31,11:13:00,W 3RD ST & S JOHNSON AVE,LB404,50,M,W,9-21-5-2,SPEED MAXIMUM,39,F,W,3,2016
697,C3891,2016-09-01,10:50:00,S GRANT ST & E 3RD ST,LB104,49,M,U,9-21-8-31,"FAILURE TO YIELD, THRU HIGHWAY",23,M,W,3,2016
698,C3887,2016-09-01,01:17:00,N WALNUT ST & E 10TH ST,LB102,26,M,P,9-18-2-7,EXPIRED LICENSE PLATES,23,M,W,3,2016
699,C3919,2016-09-02,23:00:00,W STATE ROAD 45 & S LIBERTY DR,LB416,22,M,W,9-24-7-4,LEARNERS PERMIT,22,M,L,3,2016
700,C3922,2016-09-02,00:27:00,S MITCHELL ST & E ATWATER AVE,LB303,22,F,A,9-18-2-7,EXPIRED LICENSE PLATES,22,M,L,3,2016
701,C3924,2016-09-02,04:18:00,S HIGH ST & E 2ND ST,LB303,28,M,A,9-21-3-8,DISREGARDING FLASHING SIGNAL,24,M,W,3,2016
702,C3925,2016-09-02,04:41:00,E MILLER DR & S WALNUT ST,LB421,36,M,U,9-19-6-4,IMPROPER TAIL/LICENSE PLATE LI,23,M,W,3,2016
703,C3923,2016-09-02,03:05:00,N WALNUT ST & E 17TH ST,LB213,21,F,W,9-30-15-3,OPEN CONTAINERS IN PASSENGER COMPARTMENT,23,M,W,3,2016
704,C3892,2016-09-03,07:07:00,231 S ADAMS ST; CRESENT DONUT,LB407,25,M,B,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,43,M,W,3,2016
705,C3900,2016-09-03,15:45:00,2000 E ATWATER AVE,LB303,20,M,W,14.09.030,NOISE VIOLATION,28,M,W,3,2016
706,C3940,2016-09-04,15:48:00,W 11TH ST & N ROGERS ST,LB519,55,F,W,9-24-19-1,DRIVING WHILE SUSPENDED,38,M,W,3,2016
707,C3926,2016-09-05,14:53:00,S GRANT ST & E KIRKWOOD AVE,LB102,23,M,W,9-21-8-29,"INTERSECTION, RIGHT OF WAY",24,M,B,3,2016
708,C3893,2016-09-05,00:37:00,N LINDBERGH DR & W 11TH ST,LB517,28,M,B,9-21-8-25,"TURNS, SIGNALING",29,M,W,3,2016
709,C3894,2016-09-05,00:37:00,N ADAMS ST & W VERNAL PIKE,LB521,28,M,B,9-21-8-25,"TURNS, SIGNALING",29,M,W,3,2016
710,C3896,2016-09-05,00:37:00,N ADAMS ST & W 6TH ST,LB521,28,M,B,9-21-8-41,TRAFFIC CONTROL DEVICE DIS,29,M,W,3,2016
711,C3897,2016-09-05,00:37:00,N OAK ST & W 6TH ST,LB520,28,M,B,9-21-5-2(1),EXCEEDING URBAN SPEED LIMIT,29,M,W,3,2016
712,C3902,2016-09-06,16:33:00,S WALNUT STREET PIKE & E WINSLOW RD,LB327,36,M,W,9-18-2-7,EXPIRED LICENSE PLATES,29,F,W,3,2016
713,C3913,2016-09-07,20:45:00,N FAIRVIEW ST & W 8TH ST,LB520,36,M,B,9-18-2-27,FALSE REGISTRATION,25,M,W,3,2016
714,C3941,2016-09-07,12:55:00,N WALNUT ST & E 19TH ST,LB212,25,M,W,9-18-2-7,EXPIRED LICENSE PLATES,27,M,W,3,2016
715,C3906,2016-09-07,23:08:00,1400 S STATE ROAD 37 45,LB415,32,M,W,9-21-5-6,EXCEEDING POSTED SPEED LIMIT,37,M,W,3,2016
716,C3942,2016-09-08,12:08:00,E 3RD ST & S KINGSTON DR,LB305,63,M,W,9-19-6-4,IMPROPER TAIL/LICENSE PLATE LI,23,M,W,3,2016
717,C3938,2016-09-09,23:41:00,S DUNN ST & E KIRKWOOD AVE,LB102,36,M,W,9-24-19-1,DRIVING WHILE SUSPENDED,22,M,L,3,2016
718,C3938,2016-09-09,23:41:00,S DUNN ST & E KIRKWOOD AVE,LB102,36,M,W,9-21-8-9,WRONG WAY ON ONE WAY,22,M,L,3,2016
719,C3939,2016-09-09,23:35:00,S WALNUT ST & E GRIMES LN,LB411,40,F,W,9-24-19-1,DRIVING WHILE SUSPENDED,24,M,W,3,2016
720,C3927,2016-09-09,23:55:00,W STATE ROAD 45 & S LIBERTY DR,LB416,42,M,W,9-18-2-27,FALSE REGISTRATION,35,M,W,3,2016
721,C3927,2016-09-09,23:55:00,W STATE ROAD 45 & S LIBERTY DR,LB416,42,M,W,9-24-19-1,DRIVING WHILE SUSPENDED,35,M,W,3,2016
722,C3927,2016-09-09,23:55:00,W STATE ROAD 45 & S LIBERTY DR,LB416,42,M,W,9-19-6-4,IMPROPER TAIL/LICENSE PLATE LI,35,M,W,3,2016
723,C3927,2016-09-09,23:55:00,W STATE ROAD 45 & S LIBERTY DR,LB416,42,M,W,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,35,M,W,3,2016
724,C3936,2016-09-09,22:38:00,W 3RD ST & S LANDMARK AVE,LB522,22,M,W,9-18-2-27,FALSE REGISTRATION,35,M,W,3,2016
725,C3943,2016-09-09,23:17:00,817 N WASHINGTON ST,LB213,19,M,W,14.09.030,NOISE VIOLATION,23,M,W,3,2016
726,C3916,2016-09-09,00:39:00,N COLLEGE AVE & W 15TH ST,LB519,23,M,W,9-24-19-1,DRIVING WHILE SUSPENDED,30,M,B,3,2016
727,C3945,2016-09-10,01:00:00,420 E 12TH ST,LB213,20,M,W,14.09.030,NOISE VIOLATION,22,M,L,3,2016
728,C3946,2016-09-10,00:10:00,407 N DUNN ST,LB102,21,M,W,14.09.030,NOISE VIOLATION,22,M,L,3,2016
729,C3937,2016-09-10,23:40:00,S WALNUT ST & E 1ST ST,LB410,22,M,W,9-21-8-9,WRONG WAY ON ONE WAY,23,M,W,3,2016
730,C3944,2016-09-10,11:28:00,321 N WASHINGTON ST,LB102,116,M,W,14.09.030,NOISE VIOLATION,36,M,W,3,2016
731,C3948,2016-09-11,13:30:00,345 S COLLEGE AVE; MIDTOWN LOFTS; APT 407,LB103,21,M,W,14.09.030,NOISE VIOLATION,42,M,W,3,2016
732,C3947,2016-09-11,09:57:00,2350 W BLOOMFIELD RD; TWIN LAKES SPORTS PARK,LB415,48,M,W,14.36.090,CONSUMPTION OF ALCOHOL IN PUBLIC,36,M,W,3,2016
733,C3950,2016-09-13,22:33:00,W TAPP RD & S LEONARD SPRINGS RD,LB428,26,M,W,9-24-19-1,DRIVING WHILE SUSPENDED,35,M,W,3,2016
734,C3951,2016-09-13,22:33:00,W TAPP RD & S LEONARD SPRINGS RD,LB428,26,M,W,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,35,M,W,3,2016
