,Unnamed: 0,city,year,total_pop,black_pct,white_pct,latinx_pct,asian_pct,other_pct,black_drive_stops,white_drive_stops,latinx_drive_stops,asian_drive_stops,other_drive_stops,black_uof,white_uof,latinx_uof,asian_uof,other_uof,black bias percentages,asian bias percentages,other bias percentages,black bias score,asian bias score,other bias score,average racial bias score,max racial bias score,average racial bias percentage,min racial bias percentage,black excessive force score,asian excessive force score,other excessive force score,average excessive force score,black excessive force percent,asian excessive force percent,other excessive force percent,max excessive force score,average force percent,min force percent,diagnostic score,diagnostic percentile
0,0,Cincinnati,2016,298802,0.41200000000000003,0.49,0.042,0.017,0.039,13714,7463,0,80,476,455,166,4,1,11,0.09968557811793644,0.2677803334751142,0.15922648803090866,1.2833452211342014,0.6195400188463528,-0.9976420229519546,0.30174773900953317,1.2833452211342014,0.17556413320798644,0.09968557811793644,4.5057088687655495,-4.516461534429708,0.12410141909451719,0.03778291781011955,3.307586648015892e-06,3.1440766588008984e-06,0.4506174872860609,4.5057088687655495,0.15020797964978924,3.1440766588008984e-06,1.6463645735563055,0.04984436109729762
1,1,Cincinnati,2017,301305,0.423,0.475,0.039,0.026000000000000002,0.037000000000000005,12826,7019,0,86,484,488,142,2,0,15,0.1548971902464944,0.3593670019679921,0.2804941619441167,-1.0156535799160193,0.36015128309747724,-0.5813741377483305,-0.4122921448556242,0.36015128309747724,0.26491945138620104,0.1548971902464944,6.844642857473313,-11.917834577179493,1.5997511525505432,-1.1578135223852122,3.8333780594257405e-12,0.0,0.05482689956182685,6.844642857473313,0.01827563318855341,0.0,1.4224447144387296,0.0774485951232472
2,2,Cincinnati,2018,302615,0.40399999999999997,0.498,0.036000000000000004,0.023,0.039,4995,2789,0,34,241,508,147,5,0,7,0.40358760992699505,0.3043976199851455,0.37024174437328594,0.24407179052245617,0.5117939286122044,0.3312131490442296,0.3623596227262967,0.5117939286122044,0.3594089914284755,0.3043976199851455,7.466327143754947,-12.128205756077042,-1.6045014045701784,-2.088793338964091,4.118927421359331e-14,0.0,0.054301787555053216,7.466327143754947,0.018100595851698136,0.0,1.027048515023467,0.15219880999257274
3,3,Cincinnati,2019,303954,0.41100000000000003,0.495,0.035,0.28,0.031,4995,2789,0,34,241,361,132,1,0,4,0.30440829308843065,0.06791707300549221,0.1060516027615589,-0.5117634317406278,-1.4914852305560347,1.2478030116560554,-0.25181521688020236,1.2478030116560554,0.15945898961849392,0.06791707300549221,4.332449036475628,-11.492401234616652,-2.210629917182019,-3.1235273717743475,7.372990194043361e-06,0.0,0.013530737638072887,4.332449036475628,0.004512703542755643,0.0,1.8255566343840384,0.033958536502746106
