0,1,2,3,counts
www.bloomberg.com,news,articles,2019-09-17,70
www.bloomberg.com,news,articles,2019-05-01,70
www.bloomberg.com,news,articles,2019-05-28,70
www.bloomberg.com,news,articles,2020-02-28,70
www.bloomberg.com,news,articles,2019-12-03,69
www.bloomberg.com,news,articles,2019-09-06,69
www.bloomberg.com,news,articles,2019-08-30,69
www.bloomberg.com,news,articles,2019-04-12,69
www.bloomberg.com,news,articles,2020-02-04,69
www.bloomberg.com,news,articles,2019-03-21,68
www.bloomberg.com,news,articles,2020-03-06,68
www.bloomberg.com,news,articles,2019-10-01,68
www.bloomberg.com,news,articles,2019-10-15,68
www.bloomberg.com,news,articles,2019-05-13,68
www.bloomberg.com,news,articles,2019-07-31,68
www.bloomberg.com,news,articles,2019-05-31,67
www.bloomberg.com,news,articles,2019-05-07,67
www.bloomberg.com,news,articles,2019-10-21,67
www.bloomberg.com,news,articles,2019-09-27,67
www.bloomberg.com,news,articles,2019-04-29,67
www.bloomberg.com,news,articles,2019-04-24,67
www.bloomberg.com,news,articles,2019-08-05,67
www.bloomberg.com,news,articles,2019-11-01,67
www.bloomberg.com,news,articles,2019-09-24,67
www.bloomberg.com,news,articles,2020-03-08,67
www.bloomberg.com,news,articles,2020-01-07,67
www.bloomberg.com,news,articles,2020-02-07,66
www.bloomberg.com,news,articles,2019-07-29,66
www.bloomberg.com,news,articles,2019-06-04,66
www.bloomberg.com,news,articles,2019-07-30,66
www.bloomberg.com,news,articles,2019-11-13,66
www.bloomberg.com,news,articles,2019-03-18,66
www.bloomberg.com,news,articles,2019-05-24,66
www.bloomberg.com,news,articles,2019-08-02,66
www.bloomberg.com,news,articles,2019-09-05,66
www.bloomberg.com,news,articles,2019-06-10,66
www.bloomberg.com,news,articles,2019-11-05,66
www.bloomberg.com,news,articles,2019-11-07,66
www.bloomberg.com,news,articles,2019-09-20,66
www.bloomberg.com,news,articles,2019-07-10,65
www.bloomberg.com,news,articles,2019-10-30,65
www.bloomberg.com,news,articles,2019-09-18,65
www.bloomberg.com,news,articles,2019-11-15,65
www.bloomberg.com,news,articles,2019-11-22,65
www.bloomberg.com,news,articles,2019-11-26,65
www.bloomberg.com,news,articles,2019-07-08,65
www.bloomberg.com,news,articles,2019-12-06,65
www.bloomberg.com,news,articles,2019-04-23,65
www.bloomberg.com,news,articles,2019-05-17,65
www.bloomberg.com,news,articles,2019-08-26,65
www.bloomberg.com,news,articles,2019-08-29,64
www.bloomberg.com,news,articles,2019-04-15,64
www.bloomberg.com,news,articles,2019-09-23,64
www.bloomberg.com,news,articles,2019-10-04,64
www.bloomberg.com,news,articles,2019-06-07,64
www.bloomberg.com,news,articles,2019-10-28,64
www.bloomberg.com,news,articles,2019-10-29,64
