id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
33561856,*CDC-RECOMD CLEANING*FULLY STOCKED* PHARM/SHP 1BLK,22913583,Trevor,,Russian Hill,37.79875,-122.40867,Entire home/apt,220,30,3,2020-04-28,0.25,2,203
33563347,Nob Hill Modern Lux Hotel-Standard  Room-Queen,245417224,Stanford Court,,Nob Hill,37.79184,-122.40965,Hotel room,229,1,74,2020-03-01,5.44,12,336
33587710,Charming Pet-Friendly 2BR in Russian Hill,48005494,Zeus,,Russian Hill,37.79903,-122.41726,Entire home/apt,166,30,0,,,208,274
33587968,Beautiful Pet-Friendly 2BR in Russian Hill,48005494,Zeus,,Russian Hill,37.79817,-122.41767,Entire home/apt,272,30,2,2019-09-28,0.20,208,282
33608260,Bull’s Eye SF: Market+Valencia| blocs2everywhere,221525713,StellaMaris,,South of Market,37.77167,-122.42204,Private room,99,2,31,2020-02-18,2.22,4,180
33608274,CentralizedSF: Market+Valencia | Zen Room,221525713,StellaMaris,,South of Market,37.7718,-122.42207,Private room,125,2,34,2020-03-04,2.45,4,180
33633991,"Chic Nob Hill 1BR w/ W/D, city view, walk to FiDi, Muni by Blueground",107434423,Blueground,,Chinatown,37.79124,-122.4068,Entire home/apt,164,30,0,,,195,174
33634099,"Dandy Nob Hill 2BR w/ W/D, lounge, walk to restaurants by Blueground",107434423,Blueground,,Nob Hill,37.79008,-122.41363,Entire home/apt,215,30,0,,,195,301
33634536,"Sleek Lower Nob Hill Studio w/ Gym, W/D, A/C, walk to CPMC by Blueground",107434423,Blueground,,Downtown/Civic Center,37.78753,-122.42131,Entire home/apt,188,30,0,,,195,227
33641010,Lovely 1BR Around the Corner from Fillmore St,48005494,Zeus,,Pacific Heights,37.79014,-122.43237,Entire home/apt,180,30,0,,,208,0
33642479,"Beautiful, modern, safe home, 5 min from BART!",44037033,Pamela,,Excelsior,37.73,-122.42013,Entire home/apt,150,4,3,2019-11-22,0.31,1,0
