"name","pop","location"
"Pessac","57944","https://www.google.com/maps/?q=44.8101,-0.64129"
"Ivry-sur-Seine","57897","https://www.google.com/maps/?q=48.8157,2.38487"
"Evreux","57795","https://www.google.com/maps/?q=49.0241,1.15082"
"Venissieux","57584","https://www.google.com/maps/?q=45.7025,4.87147"
"Cergy","57576","https://www.google.com/maps/?q=49.0364,2.07613"
"Clichy","57467","https://www.google.com/maps/?q=48.9002,2.30952"
"Marseille 11","56792","https://www.google.com/maps/?q=43.2907,5.4384"
"Saint-Quentin","55407","https://www.google.com/maps/?q=49.8489,3.28757"
"Niort","54660","https://www.google.com/maps/?q=46.3231,-0.45877"
"Belfort","54562","https://www.google.com/maps/?q=47.6422,6.85385"
"Ajaccio","54364","https://www.google.com/maps/?q=41.9189,8.73812"
"Vannes","54020","https://www.google.com/maps/?q=47.6579,-2.75574"
"Sartrouville","53980","https://www.google.com/maps/?q=48.9482,2.19169"
"Maisons-Alfort","53964","https://www.google.com/maps/?q=48.8117,2.43945"
"Meaux","53811","https://www.google.com/maps/?q=48.9601,2.87885"
"Blois","53660","https://www.google.com/maps/?q=47.5943,1.32912"
"Brive-la-Gaillarde","53466","https://www.google.com/maps/?q=45.15,1.53333"
"Arles","53431","https://www.google.com/maps/?q=43.6768,4.63031"
"Beauvais","53393","https://www.google.com/maps/?q=49.4333,2.08333"
"Chateauroux","53301","https://www.google.com/maps/?q=46.8125,1.69362"
"Cholet","53160","https://www.google.com/maps/?q=47.0667,-0.88333"
"Frejus","53098","https://www.google.com/maps/?q=43.4329,6.73524"
"Pantin","52922","https://www.google.com/maps/?q=48.8944,2.40935"
"Saint-Brieuc","52774","https://www.google.com/maps/?q=48.5151,-2.76838"
"Montauban","52434","https://www.google.com/maps/?q=44.0182,1.36432"
"Charleville-Mezieres","52415","https://www.google.com/maps/?q=49.7685,4.72487"
"Albi","52409","https://www.google.com/maps/?q=43.9298,2.148"
"Tarbes","52106","https://www.google.com/maps/?q=43.2333,0.08333"
"Fontenay-sous-Bois","52075","https://www.google.com/maps/?q=48.8544,2.48268"
"Evry","51900","https://www.google.com/maps/?q=48.6328,2.44049"
"Clamart","51400","https://www.google.com/maps/?q=48.803,2.26692"
"Marseille 10","51299","https://www.google.com/maps/?q=43.2789,5.41523"
"Chalons-en-Champagne","51257","https://www.google.com/maps/?q=48.9539,4.36724"
"Narbonne","50776","https://www.google.com/maps/?q=43.184,3.00141"
"Saint-Malo","50676","https://www.google.com/maps/?q=48.65,-2.01667"
"Laval","50489","https://www.google.com/maps/?q=48.0732,-0.7634"
"Hyeres","50487","https://www.google.com/maps/?q=43.1204,6.12857"
"Carcassonne","49600","https://www.google.com/maps/?q=43.2135,2.35162"
"Angouleme","49468","https://www.google.com/maps/?q=45.65,0.15"
"Annecy","49232","https://www.google.com/maps/?q=45.9062,6.1267"
"Bondy","48268","https://www.google.com/maps/?q=48.9018,2.48931"
"Le Blanc-Mesnil","48077","https://www.google.com/maps/?q=48.9387,2.46138"
"Villejuif","48048","https://www.google.com/maps/?q=48.7939,2.35992"
"Grasse","47581","https://www.google.com/maps/?q=43.6667,6.91667"
"Sevran","47334","https://www.google.com/maps/?q=48.9447,2.52746"
"Castres","47275","https://www.google.com/maps/?q=43.6,2.25"
"Chalon-sur-Saone","47251","https://www.google.com/maps/?q=46.7833,4.85"
"Marseille 04","47193","https://www.google.com/maps/?q=43.3021,5.40141"
"Arras","47052","https://www.google.com/maps/?q=50.293,2.78186"
"Boulogne-sur-Mer","47013","https://www.google.com/maps/?q=50.7167,1.61667"
"Chelles","46947","https://www.google.com/maps/?q=48.8811,2.59295"
"Cagnes-sur-Mer","46923","https://www.google.com/maps/?q=43.6646,7.15339"
"Saint-Herblain","46898","https://www.google.com/maps/?q=47.2177,-1.64841"
"Douai","46531","https://www.google.com/maps/?q=50.3667,3.06667"
"Epinay-sur-Seine","46145","https://www.google.com/maps/?q=48.9535,2.31514"
"Vincennes","45923","https://www.google.com/maps/?q=48.8486,2.43769"
"Martigues","45749","https://www.google.com/maps/?q=43.4073,5.05526"
"Marseille 03","45414","https://www.google.com/maps/?q=43.3026,5.37583"
"Bourg-en-Bresse","45340","https://www.google.com/maps/?q=46.2057,5.2258"
"Bobigny","44962","https://www.google.com/maps/?q=48.9098,2.45012"
"Montlucon","44960","https://www.google.com/maps/?q=46.3333,2.6"
"Aubagne","44844","https://www.google.com/maps/?q=43.2928,5.57067"
"Valenciennes","44821","https://www.google.com/maps/?q=50.35,3.53333"
"Suresnes","44697","https://www.google.com/maps/?q=48.8714,2.22929"
"Meudon","44652","https://www.google.com/maps/?q=48.8138,2.235"
"Marseille 05","44583","https://www.google.com/maps/?q=43.2955,5.40055"
"Bayonne","44396","https://www.google.com/maps/?q=43.4833,-1.48333"
"Istres","44373","https://www.google.com/maps/?q=43.5167,4.98333"
