"name","pop","location"
"Minamirinkan","224015","https://www.google.com/maps/?q=35.4953,139.443"
"Takarazuka","219789","https://www.google.com/maps/?q=34.7994,135.357"
"Ageoshimo","219401","https://www.google.com/maps/?q=35.9715,139.614"
"Chofu","212977","https://www.google.com/maps/?q=35.6592,139.548"
"Matsumoto","210667","https://www.google.com/maps/?q=36.2333,137.967"
"Kasukabe","206915","https://www.google.com/maps/?q=35.9831,139.75"
"Kishiwada","205561","https://www.google.com/maps/?q=34.4667,135.367"
"Numazu","204318","https://www.google.com/maps/?q=35.1,138.867"
"Joetsu","204137","https://www.google.com/maps/?q=37.1483,138.236"
"Odawara","203035","https://www.google.com/maps/?q=35.2556,139.16"
"Kure","196624","https://www.google.com/maps/?q=34.2322,132.567"
"Nagaoka","195318","https://www.google.com/maps/?q=37.45,138.85"
"Nishi-Tokyo-shi","195164","https://www.google.com/maps/?q=35.7253,139.538"
"Itami","193524","https://www.google.com/maps/?q=34.7843,135.401"
"Uji","192925","https://www.google.com/maps/?q=34.8904,135.803"
"Suzuka","191477","https://www.google.com/maps/?q=34.8833,136.583"
"Kofu","190000","https://www.google.com/maps/?q=35.6667,138.567"
"Izumi","189085","https://www.google.com/maps/?q=34.4833,135.433"
"Hitachi","186307","https://www.google.com/maps/?q=36.6,140.65"
"Kushiro","183612","https://www.google.com/maps/?q=42.975,144.375"
"Sakura","182549","https://www.google.com/maps/?q=35.7167,140.233"
"Kamirenjaku","178739","https://www.google.com/maps/?q=35.6942,139.555"
"Anjo","178402","https://www.google.com/maps/?q=34.9583,137.081"
"Tsukuba","175589","https://www.google.com/maps/?q=36.2,140.1"
"Hirosaki","174972","https://www.google.com/maps/?q=40.5931,140.473"
"Tomakomai","174806","https://www.google.com/maps/?q=42.6369,141.603"
"Hadano","174281","https://www.google.com/maps/?q=35.3711,139.224"
"Obihiro","173890","https://www.google.com/maps/?q=42.9172,143.204"
"Ube","173733","https://www.google.com/maps/?q=33.9431,131.251"
"Hino","171777","https://www.google.com/maps/?q=35.6731,139.4"
"Takaoka","170077","https://www.google.com/maps/?q=36.75,137.017"
"Kamakura","166016","https://www.google.com/maps/?q=35.3089,139.55"
"Saga","165236","https://www.google.com/maps/?q=33.2333,130.3"
"Tsu","163461","https://www.google.com/maps/?q=34.7333,136.517"
"Sayama","160843","https://www.google.com/maps/?q=35.853,139.412"
"Kawanishi","160520","https://www.google.com/maps/?q=34.8167,135.417"
"Oyama","159936","https://www.google.com/maps/?q=36.3,139.8"
"Ashikaga","159671","https://www.google.com/maps/?q=36.3333,139.45"
"Hitachi-Naka","156811","https://www.google.com/maps/?q=36.3966,140.535"
"Matsue","156811","https://www.google.com/maps/?q=35.4833,133.05"
"Nagareyama","156000","https://www.google.com/maps/?q=35.8563,139.903"
"Katsuta","155968","https://www.google.com/maps/?q=36.3833,140.533"
"Kumagaya","155813","https://www.google.com/maps/?q=36.135,139.39"
"Tottori","154098","https://www.google.com/maps/?q=35.5,134.233"
"Ota","152104","https://www.google.com/maps/?q=36.3,139.367"
"Komaki","151025","https://www.google.com/maps/?q=35.2833,136.917"
"Ogaki","150570","https://www.google.com/maps/?q=35.35,136.617"
"Higashimurayama","150556","https://www.google.com/maps/?q=35.7546,139.469"
"Ome","149323","https://www.google.com/maps/?q=35.7839,139.243"
"Moriguchi","148350","https://www.google.com/maps/?q=34.7333,135.567"
"Yamaguchi","145515","https://www.google.com/maps/?q=34.1833,131.467"
"Otaru","143792","https://www.google.com/maps/?q=43.1894,141.002"
"Urayasu","143758","https://www.google.com/maps/?q=35.6706,139.889"
"Yonago","141368","https://www.google.com/maps/?q=35.4333,133.333"
"Kuwana","140051","https://www.google.com/maps/?q=35.0519,136.67"
"Kariya","139159","https://www.google.com/maps/?q=34.9833,136.983"
"Musashino","137479","https://www.google.com/maps/?q=35.7061,139.559"
"Zama","134671","https://www.google.com/maps/?q=35.4879,139.391"
"Seto","134246","https://www.google.com/maps/?q=35.2333,137.1"
"Ebetsu","133953","https://www.google.com/maps/?q=43.1081,141.551"
"Tondabayashicho","132873","https://www.google.com/maps/?q=34.5006,135.602"
"Fujieda","132859","https://www.google.com/maps/?q=34.8667,138.267"
"Sandacho","132858","https://www.google.com/maps/?q=34.8844,135.227"
"Kakamigahara","132241","https://www.google.com/maps/?q=35.4167,136.867"
"Omuta","131974","https://www.google.com/maps/?q=33.0333,130.45"
"Abiko","131771","https://www.google.com/maps/?q=35.8667,140.017"
"Kadoma","131727","https://www.google.com/maps/?q=34.7381,135.574"
"Miyakonojo","130994","https://www.google.com/maps/?q=31.7333,131.067"
"Matsubara","130855","https://www.google.com/maps/?q=34.5667,135.55"
"Isesaki","130692","https://www.google.com/maps/?q=36.3167,139.2"
"Daitocho","129521","https://www.google.com/maps/?q=34.7138,135.62"
"Mino","129127","https://www.google.com/maps/?q=34.8269,135.471"
"Asaka","128058","https://www.google.com/maps/?q=35.8047,139.602"
"Kusatsu","127680","https://www.google.com/maps/?q=35.0167,135.967"
"Ueda","126606","https://www.google.com/maps/?q=36.4026,138.282"
"Okinawa","125483","https://www.google.com/maps/?q=26.3358,127.801"
"Beppu","125065","https://www.google.com/maps/?q=33.2794,131.498"
"Kashihara-shi","124521","https://www.google.com/maps/?q=34.509,135.793"
"Niihama","123059","https://www.google.com/maps/?q=33.9605,133.305"
"Kisarazu","122524","https://www.google.com/maps/?q=35.3833,139.933"
"Nobeoka","121949","https://www.google.com/maps/?q=32.5833,131.667"
"Fujinomiya","121515","https://www.google.com/maps/?q=35.2167,138.617"
"Noda","121411","https://www.google.com/maps/?q=35.949,139.868"
"Yaizu","121057","https://www.google.com/maps/?q=34.8688,138.32"
"Toyokawa","120537","https://www.google.com/maps/?q=34.8167,137.4"
"Shimotoda","118731","https://www.google.com/maps/?q=35.815,139.685"
"Kokubunji","118682","https://www.google.com/maps/?q=35.7022,139.476"
"Ikoma","117601","https://www.google.com/maps/?q=34.6833,135.7"
"Ishinomaki","117233","https://www.google.com/maps/?q=38.4167,141.3"
"Hofu","116925","https://www.google.com/maps/?q=34.05,131.567"
"Handa","116119","https://www.google.com/maps/?q=34.8833,136.933"
"Mishima","113479","https://www.google.com/maps/?q=35.1167,138.917"
"Kitami","113137","https://www.google.com/maps/?q=43.8031,143.891"
"Hikone","110925","https://www.google.com/maps/?q=35.25,136.25"
"Kiryu","110219","https://www.google.com/maps/?q=36.4,139.333"
