,name,content,timestamp
86,MEE6#4876,Here is **LOL EUW Community**'s leaderboard: <https://mee6.xyz/leaderboard/189835138857697282>,2020-11-24T11:30:15.032000+00:00
87,Robert39#5805,hehe send feet <:kaisauwu:772819339803492382>,2020-11-24T11:30:33.095000+00:00
88,eX#5471,"Robbie, I can send you mine if you want",2020-11-24T11:31:00.947000+00:00
89,Luxcha✨🌸#0831,Ele lux,2020-11-24T11:28:56.145000+00:00
90,Luxcha✨🌸#0831,!rank,2020-11-24T11:30:09.033000+00:00
91,Luxcha✨🌸#0831,hehe,2020-11-24T11:30:13.394000+00:00
92,Luxcha✨🌸#0831,!levels,2020-11-24T11:30:14.787000+00:00
93,Ezreal#0001,theres so many,2020-11-24T09:22:12.343000+00:00
94,Ezreal#0001,2 choose from,2020-11-24T09:22:13.978000+00:00
95,Ohmbitter#5208,eve all the wae,2020-11-24T09:30:47.561000+00:00
96,Ohmbitter#5208,she so hot,2020-11-24T09:30:52.894000+00:00
97,Brainf**k!#9160,powerpoint....,2020-11-23T19:02:30.437000+00:00
98,Brainf**k!#9160,!rank,2020-11-23T19:02:33.363000+00:00
99,Brainf**k!#9160,Pp!!!!,2020-11-23T19:02:38.667000+00:00
100,Ness_1❄#1818,ok,2020-11-23T19:14:27.079000+00:00
101,Luxcha✨🌸#0831,top2  lifeless,2020-11-23T11:04:31.532000+00:00
102,Luxcha✨🌸#0831,!rank,2020-11-23T11:04:46.154000+00:00
103,eX#5471,"I can't fucking believe that
ranked game starts, my mid Zoe STRAIGHT autowalks under her tower and AFK until 10 seconds into minions already clashing in lane
meanwhile enemy team invades, get 2 kills
and fucks up both allied top and jungle
WHY do people join ranked if they are not even serious about it??",2020-11-23T11:05:48.380000+00:00
104,Luxcha✨🌸#0831,its robert,2020-11-23T11:06:02.004000+00:00
105,MEE6#4876,Here is **LOL EUW Community**'s leaderboard: <https://mee6.xyz/leaderboard/189835138857697282>,2020-11-23T11:03:07.525000+00:00
106,Robert39#5805,!rank,2020-11-23T11:03:47.132000+00:00
107,Luxcha✨🌸#0831,top2  lifeless,2020-11-23T11:04:31.532000+00:00
108,Luxcha✨🌸#0831,!rank,2020-11-23T11:04:46.154000+00:00
109,Luxcha✨🌸#0831,!leaderboard,2020-11-23T11:03:04.401000+00:00
110,Rift#5784,!levels,2020-11-23T11:03:07.121000+00:00
111,MEE6#4876,Here is **LOL EUW Community**'s leaderboard: <https://mee6.xyz/leaderboard/189835138857697282>,2020-11-23T11:03:07.525000+00:00
112,Robert39#5805,!rank,2020-11-23T11:03:47.132000+00:00
113,Luxcha✨🌸#0831,ez,2020-11-23T11:02:48.123000+00:00
114,Luxcha✨🌸#0831,!rank <@!276659163914829824>,2020-11-23T11:02:51.767000+00:00
115,Rift#5784,<:PeepoPointLaugh:663143007251464216>,2020-11-23T11:02:56.552000+00:00
116,Luxcha✨🌸#0831,So who is 9,2020-11-23T11:03:00.597000+00:00
117,MEE6#4876,"Well done <@!474320594163466250>,  you went up a level 26!",2020-11-23T11:02:40.564000+00:00
118,Luxcha✨🌸#0831,!rank,2020-11-23T11:02:44.387000+00:00
119,Luxcha✨🌸#0831,ez,2020-11-23T11:02:48.123000+00:00
120,Luxcha✨🌸#0831,!rank <@!276659163914829824>,2020-11-23T11:02:51.767000+00:00
121,Brainf**k!#9160,pp,2020-11-23T10:07:55.564000+00:00
122,Ezreal#0001,!rank,2020-11-23T10:07:55.957000+00:00
123,Rift#5784,xD,2020-11-23T10:07:56.946000+00:00
124,Ezreal#0001,<:coolSip:701871545706086431>,2020-11-23T10:07:57.777000+00:00
125,Rift#5784,f2p pc smhash clone,2020-11-23T10:07:49.952000+00:00
126,Brainf**k!#9160,!rank,2020-11-23T10:07:52.021000+00:00
127,Ezreal#0001,i thought itw as new assiasnsa,2020-11-23T10:07:52.644000+00:00
128,Ezreal#0001,creed,2020-11-23T10:07:53.541000+00:00
129,Ezreal#0001,i try to be like my teammates,2020-11-22T23:52:06.784000+00:00
130,eX#5471,your teammates are fluffy?,2020-11-22T23:52:17.506000+00:00
131,Ezreal#0001,https://tenor.com/view/funny-animals-dog-dance-cute-smile-gif-12759384,2020-11-22T23:52:17.557000+00:00
132,eX#5471,my teammates are degenerate criminals and yours are fluffy,2020-11-22T23:52:33.362000+00:00
133,eX#5471,thats unfair,2020-11-22T23:52:35.894000+00:00
134,Sandesert#2003,gimmi friends admin <:doinasad:772784116172587018>,2020-11-22T00:20:21.046000+00:00
135,Ezreal#0001,<a:CatBonk:753093287992361052>,2020-11-22T00:20:26.232000+00:00
136,Ezreal#0001,<a:smokeweed:412247657252126732>,2020-11-22T00:21:00.087000+00:00
137,Sandesert#2003,gg,2020-11-22T00:21:19.806000+00:00
138,SSALZ#3088,u dont respect the rules,2020-11-21T17:30:24.831000+00:00
139,mumpman#5019,shut it brown boy,2020-11-21T17:30:34.067000+00:00
140,Ezreal#0001,https://tenor.com/view/horny-jail-bonk-dog-hit-head-stop-being-horny-gif-17298755,2020-11-21T17:30:43.125000+00:00
141,mumpman#5019,your mum,2020-11-21T17:30:48.649000+00:00
142,SSALZ#3088,OMG,2020-11-21T17:31:01.397000+00:00
143,Oussman#1999,yup ty bro ❤️,2020-11-21T14:50:48.885000+00:00
144,Gantrit#2941,!rank,2020-11-21T14:58:32.862000+00:00
145,Norga#0001,REAL HACKER? 200CS 8MIN,2020-11-21T15:00:47.271000+00:00
146,Norga#0001,MINIONS STOPPED RESPAWNING HACK!,2020-11-21T15:00:55.742000+00:00
147,XaiinZ#9700,I’m new too!,2020-11-21T14:23:04.498000+00:00
148,XaiinZ#9700,!rank,2020-11-21T14:23:06.611000+00:00
149,XaiinZ#9700,<:PepeThink:664144617335423056>,2020-11-21T14:23:08.596000+00:00
150,Robert39#5805,<:doinasad:772784116172587018>,2020-11-21T14:23:31.314000+00:00
151,Oussman#1999,❤️,2020-11-21T14:21:10.513000+00:00
152,Luxcha✨🌸#0831,!rank,2020-11-21T14:22:28.687000+00:00
153,XaiinZ#9700,I’m new too!,2020-11-21T14:23:04.498000+00:00
154,XaiinZ#9700,!rank,2020-11-21T14:23:06.611000+00:00
155,Robert39#5805,no u,2020-11-20T23:40:29.261000+00:00
156,Luxcha✨🌸#0831,!rank,2020-11-20T23:40:35.384000+00:00
157,eX#5471,am abusing her,2020-11-20T23:41:33.174000+00:00
158,eX#5471,<:PepePoo:663143802629914657>,2020-11-20T23:41:38.166000+00:00
159,Luxcha✨🌸#0831,!rank,2020-11-20T09:30:20.045000+00:00
160,XaiinZ#9700,Good morning,2020-11-20T09:31:43.366000+00:00
161,XaiinZ#9700,<:kaisauwu:772819339803492382>,2020-11-20T09:31:47.382000+00:00
162,Robert39#5805,<:Stare:748199826541510678>,2020-11-20T09:28:50.097000+00:00
163,Robert39#5805,!rank,2020-11-20T09:28:54.069000+00:00
164,Luxcha✨🌸#0831,!rank,2020-11-20T09:30:20.045000+00:00
165,Baby Bun#0952,<:CatConfused:664518919608074240>,2020-11-19T19:30:45.172000+00:00
166,FNC N.oir#6229,!rank,2020-11-19T19:30:46.608000+00:00
167,мєᵐє เ'ｍ 𝐧ⓞⓉ ค 𝐑Ｏ𝓑𝓸#1769,your disgusting,2020-11-19T19:30:49.736000+00:00
168,FNC N.oir#6229,respect me pls,2020-11-19T19:30:53.053000+00:00
169,Luxcha✨🌸#0831,first download league,2020-11-19T16:31:04.596000+00:00
170,Luxcha✨🌸#0831,!rank,2020-11-19T16:31:05.640000+00:00
171,Robert39#5805,Funny,2020-11-19T16:31:52.408000+00:00
172,Robert39#5805,what the fuck did they do to quoting messages,2020-11-19T16:32:08.469000+00:00
173,MEE6#4876,Here is **LOL EUW Community**'s leaderboard: <https://mee6.xyz/leaderboard/189835138857697282>,2020-11-19T08:20:16.536000+00:00
174,Baby Bun#0952,!rank,2020-11-19T08:21:08.387000+00:00
175,Ohmbitter#5208,<:PingReee:748199996947562556>,2020-11-19T09:00:18.208000+00:00
176,Ohmbitter#5208,"> Dear <@!264052996202037248> 
> Hope everything is well 
> 
> 
> 
> 
> 
> Excuse me?
> 
> 
> Regards
<@!301087846796886018>",2020-11-19T09:01:19.185000+00:00
177,Robert39#5805,!levels,2020-11-19T08:20:16.300000+00:00
178,MEE6#4876,Here is **LOL EUW Community**'s leaderboard: <https://mee6.xyz/leaderboard/189835138857697282>,2020-11-19T08:20:16.536000+00:00
179,Baby Bun#0952,!rank,2020-11-19T08:21:08.387000+00:00
180,Robert39#5805,!rank,2020-11-19T08:20:12.570000+00:00
181,Robert39#5805,!levels,2020-11-19T08:20:16.300000+00:00
182,MEE6#4876,Here is **LOL EUW Community**'s leaderboard: <https://mee6.xyz/leaderboard/189835138857697282>,2020-11-19T08:20:16.536000+00:00
183,Robert39#5805,<:doinasad:772784116172587018>,2020-11-19T08:18:08.416000+00:00
184,Luxcha✨🌸#0831,!rank,2020-11-19T08:18:37.085000+00:00
185,Robert39#5805,!rank,2020-11-19T08:20:12.570000+00:00
186,Brainf**k!#9160,smoll pp,2020-11-19T04:14:56.130000+00:00
187,Brainf**k!#9160,!rank,2020-11-19T04:15:05.017000+00:00
188,Ezreal#0001,<:stare:720029406235590737>,2020-11-19T04:15:31.977000+00:00
189,Brainf**k!#9160,imagine,2020-11-19T04:16:33.824000+00:00
190,Ezreal#0001,MONKA,2020-11-19T04:12:31.111000+00:00
